audio_id,source_csv,local_audio_path,input_file_path,model,common_name,scientific_name,confidence,start_time,end_time
4_2MM06988_20250409_164000,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250409_164000.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250409_164000.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250409_164000.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.9988811612129211,6.0,9.0
4_2MM06988_20250409_164000,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250409_164000.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250409_164000.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250409_164000.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.9984228610992432,15.0,18.0
4_2MM06988_20250409_164500,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250409_164500.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250409_164500.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250409_164500.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.9994543194770813,48.0,51.0
4_2MM06988_20250410_103500,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250410_103500.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250410_103500.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250410_103500.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.9987103939056396,9.0,12.0
4_2MM06988_20250410_104500,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250410_104500.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250410_104500.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250410_104500.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.998210072517395,36.0,39.0
4_2MM06988_20250410_110000,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250410_110000.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250410_110000.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250410_110000.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.9979833364486694,21.0,24.0
4_2MM06988_20250410_110000,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250410_110000.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250410_110000.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250410_110000.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.9998939037322998,33.0,36.0
4_2MM06988_20250410_111500,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250410_111500.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250410_111500.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250410_111500.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.9994503855705261,0.0,3.0
4_2MM06988_20250410_163000,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250410_163000.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250410_163000.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250410_163000.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.9992351531982422,15.0,18.0
4_2MM06988_20250410_164500,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250410_164500.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250410_164500.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250410_164500.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.9994934797286987,18.0,21.0
